OSSUOpera;Modelo de operación;Descripcion;Secretaría;Tipo de discapacidad;Tramo de edad atendido;Array de edades
CENTRO ATENCION DISTRITAL PARA LA INCLUSION;CENTRO DE ATENCION DISTRITAL PARA LA INCLUSION SOCIAL – CADIS;Servicio que brinda procesos de formación y atención interdisciplinar para el desarrollo de competencias que favorecen la inclusión social de las personas con discapacidad cuidadores/as y sus familias, espacios para la inclusión social para las personas con discapacidad y sus cuidadores(as), a través de alianzas y procesos de articulación transectorial con actores públicos y privados y Acciones encaminadas al desarrollo humano y el proyecto de vida de los cuidadores/as y sus familias.;Integración Social;Sin especificar;14-59;14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59
CENTRO INTEGRAL DE PROTECCION RENACER;CENTRO RENACER;"Lugar en el que se atienden adolescentes y jóvenes entre los 6 y 17 años 11 meses, con discapacidad cognitiva no psicosocial que requieran apoyos extensos y generalizados o con discapacidad múltiple que requieran apoyos intermitentes y limitados; y que habiten en Bogotá D.C. Actividades lúdicas, pedagógicas, recreativas y deportivas orientadas al fortalecimiento de habilidades y capacidades para desenvolverse con independencia en su entorno. Desarrollo de procesos de inclusión educativa de acuerdo con las habilidades y capacidades de los participantes, Apoyo alimentario, Servicio de transporte. Espacio donde se prestan actividades lúdicas, pedagógicas, recreativas y deportivas orientadas al mantenimiento de las condiciones físicas y mentales que permitan mejoramiento de la calidad de vida, apoo alimentario y servicio de transporte a niños niñas y adolescentes entre 6 y 17 años 11 meses con discapacidad múltiple asociada a discapacidad cognitiva, que requieren de apoyos extensos a generalizados y que habiten en Bogotá D.C.";Integración Social;Sin especificar;0-17;0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17
CENTRO CRECER USAQUEN;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
CENTRO CRECER LOURDES;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
CENTRO CRECER SIN LIMITES PARDO RUBIO;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
CENTRO CRECER LA VICTORIA;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
CENTRO CRECER TEJARES;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
CENTRO CRECER BOSA;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
CENTRO CRECER CAMPO ALEGRE CALANDAIMA;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
CENTRO CRECER FONTIBON;CENTROS CRECER;Servicio destinado a atender a los niños, niñas, adolescentes y/o jóvenes con discapacidad a través de acciones que aporten a la construcción del proyecto de vida y al desarrollo de sus habilidades y capacidades, favoreciendo procesos de inclusión social en los entornos educativo, formativo, deportivo, artístico, cultural y/ o ocupacional.;Integración Social;Intelectual / Múltiple;6-17;6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
