ofer_nombr;Secretaría;Tramo de edad atendido;Array de edades
Red cuidado colectivo - Rehabilitación Basada en Comunidad RBC.;Salud;;
Certificación de discapacidad y Registro de localización y caracetrización de Personas con Discapacidad RLCPD;Salud;;
Estrategia de Relevo Domiciliario de Cuidadores;Salud;;
Estrategia de Relevo Domiciliario de Cuidadores;Salud;;
Estrategia de Relevo Domiciliario de Cuidadores;Salud;;
Subsidio complementario de Vivienda;Hábitat;;
Subsidio de transporte para personas con discapacidad;Movilidad;;
Ruta Unica Empleabilidad;Desarrollo Económico, Industria y Turismo;;
Ruta Unica Empleabilidad;Desarrollo Económico, Industria y Turismo;;
Ruta Unica Empleabilidad;Desarrollo Económico, Industria y Turismo;;
Ruta de Emprendimiento Bogotá E;Desarrollo Económico, Industria y Turismo;A partir de 14 años;14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
Ruta de Emprendimiento Bogotá E;Desarrollo Económico, Industria y Turismo;A partir de 14 años;14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
Ruta de Emprendimiento Bogotá E;Desarrollo Económico, Industria y Turismo;A partir de 14 años;14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
Academia Financiera. Talleres de Educación Financiera;Desarrollo Económico, Industria y Turismo;;
Academia Financiera. Talleres de Educación Financiera;Desarrollo Económico, Industria y Turismo;;
Academia Financiera. Talleres de Educación Financiera;Desarrollo Económico, Industria y Turismo;;
Acompañamiento a los Vendedores Informales;Desarrollo Económico, Industria y Turismo;;
Puntos Comerciales;Desarrollo Económico, Industria y Turismo;;
Red de prestación de servicios al usuario del espacio público – REDEP: QUIOSCOS;Desarrollo Económico, Industria y Turismo;;
Ferias Temporales;Desarrollo Económico, Industria y Turismo;;
Ferias Institucionales;Desarrollo Económico, Industria y Turismo;;
Plazas Distritales de Mercado;Desarrollo Económico, Industria y Turismo;;
Emprendimiento Social (Antojitos para Todos;Desarrollo Económico, Industria y Turismo;;
Formación en Derechos Humanos;Gobierno;;
Ruta Distrital de Asistencia a víctimas de trata de personas;Gobierno;Mayores de edad;18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
Ruta Distrital de Atención y Protección a Defensores y Defensoras de Derechos Humanos;Gobierno;Mayores de edad;18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
Ruta de Atención a personas de los sectores LGBTI, Victimas de Violencias en razón a la orientación sexual e identidad de género;Gobierno;;
Ruta por la Reconciliación;Gobierno;;
Ruta de atención a Víctimas de presunto abuso de autoridad por parte de la fuyerza pública;Gobierno;Mayores de edad;18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100
"Proyecto Dispositivos de Asistencia Personal DAP- Ayudas Técnicas a personas con discapacidad no incluidas en el POS.
";Gobierno;;
